emp_id,emp_name,emp_dept,emp_age,place,income,doj
2505,peter,Finance,32,Newyork,100000,2002-08-25
2506,Mark,HR,32,California,120000,1980-03-25
2507,Donald,Finance,28,Arizona,100000,1995-12-26
2508,Obama,Management,35,Florida,500000,1990-10-30
2509,Linklon,HR,25,Georgia,25000,2008-08-08
2510,Kane,Sales,29,Alaska,30000,2000-01-01
2511,Adam,Management,38,California,54000,2020-10-25
2512,Mac,Finance,40,Florida,280000,1970-06-09
2513,Manas,Accounts,29,India,600000,1990-12-11
2514,Vasin,Accounts,30,India,800000,1989-10-10
2515,peter,Finance,32,Newyork,100000,1989-10-10
2516,Mark,HR,32,California,120000,1990-12-11
2517,Donald,Finance,28,Arizona,100000,1970-06-09
2518,Obama,Management,35,Florida,500000,2020-10-25
2519,Linklon,HR,25,Georgia,25000,2000-01-01
2520,Kane,Sales,29,Alaska,30000,2008-08-08
2521,Adam,Management,38,California,54000,1990-10-30
2522,Mac,Finance,40,Florida,280000,1995-12-26
2523,Manas,Accounts,29,India,600000,1980-03-25
2524,Vasin,Accounts,30,India,800000,2002-08-25
